text,label
Pay ₹5000 registration fee and get PM Kisan ₹10000 instantly,1
Guaranteed loan approval without documents just pay processing fee,1
Call this number to activate your PM Kisan double payment scheme,1
Send ₹2000 to agent for immediate crop insurance claim processing,1
Get ₹50000 government subsidy by sharing your Aadhaar and bank OTP,1
Limited time offer pay ₹3000 get ₹25000 Kisan Credit Card instantly,1
Government giving ₹15000 bonus to all farmers click link to claim now,1
Your PM Kisan account is blocked pay ₹4000 penalty to unblock,1
Urgent verification needed send bank details to continue receiving PM Kisan,1
Get free tractor under new scheme just pay ₹10000 delivery charges,1
Double your PM Kisan payment by registering with our agent for ₹5000,1
Claim your pending ₹30000 arrears by paying ₹6000 processing fee,1
Government lottery for farmers won ₹5 lakh pay ₹8000 tax to claim,1
New scheme announced ₹20000 per month to all farmers register now with fee,1
PM Kisan payment failed pay ₹3500 to reactivate your account immediately,1
Get instant Kisan Credit Card of ₹2 lakh by paying ₹7000 to officer,1
Free solar pump scheme pay only ₹15000 installation and delivery charges,1
Government offering ₹1 lakh subsidy share your ATM pin to verify eligibility,1
PM Fasal Bima claim approved pay ₹5000 to receive ₹50000 compensation,1
Activate your dormant PM Kisan account by sending ₹4500 activation fee,1
New farmer welfare scheme ₹25000 direct transfer send ₹6000 registration fee,1
Get zero interest loan of ₹3 lakh just pay ₹8000 documentation charges,1
Your subsidy of ₹40000 is pending pay ₹7500 to release the amount,1
Crop insurance claim ready pay ₹5500 for bank transfer charges,1
Government announced bonus ₹12000 for all KCC holders pay ₹3000 to claim,1
Get soil testing subsidy of ₹20000 by paying ₹4000 processing fee,1
PM Kisan upgraded to ₹12000 per year pay ₹2500 to upgrade your account,1
Free seeds and fertilizers under new scheme pay ₹6500 delivery only,1
Your farm registered for ₹60000 grant pay ₹9000 documentation fee to proceed,1
Guaranteed crop insurance approval pay ₹5000 premium and get ₹100000 coverage,1
Government giving ₹8000 monthly pension to farmers pay ₹4500 enrollment fee,1
Click link to claim ₹35000 drought relief compensation pay ₹7000 verification fee,1
Your PM Kisan eligibility expires tomorrow pay ₹3500 renewal charges urgently,1
Get waiver of all farm loans by paying ₹10000 processing charges to agent,1
New subsidy scheme announced ₹45000 per acre pay ₹8500 registration fee,1
Immediate NREGA payment of ₹15000 available pay ₹4000 release charges,1
Government laptop scheme for farmers pay ₹6000 get laptop worth ₹40000,1
Your Kisan Credit Card limit increased to ₹5 lakh pay ₹7500 to activate,1
Free agriculture training with ₹20000 stipend pay ₹5500 seat booking fee,1
PM Awas Yojana house allotted pay ₹12000 registration to get possession,1
